@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
156,'2017/11/02 23:30:12:336',2,345.709991,-4.35,58.040001,0,0.96,0.08,0.58,0
157,'2017/11/02 23:30:12:336',2,345.769989,-4.36,58.209999,0,0.96,0.08,0.58,0
158,'2017/11/02 23:30:12:337',2,345.779999,-4.34,58.43,0,0.96,0.08,0.58,0
159,'2017/11/02 23:30:12:338',2,345.730011,-4.44,58.57,0,0.96,0.08,0.58,0
160,'2017/11/02 23:30:12:338',2,345.700012,-4.51,58.689999,0,0.96,0.08,0.58,0
161,'2017/11/02 23:30:12:339',2,345.709991,-4.55,59,0,0.96,0.08,0.58,0
162,'2017/11/02 23:30:12:356',2,345.679993,-4.64,59.060001,0,0.96,0.08,0.58,0
163,'2017/11/02 23:30:12:357',2,345.670013,-4.62,59.209999,0,0.96,0.08,0.58,0
164,'2017/11/02 23:30:12:386',2,345.679993,-4.67,59.310001,0,0.96,0.08,0.58,0
165,'2017/11/02 23:30:12:468',2,345.630005,-4.59,59.439999,0,0.96,0.08,0.58,0
166,'2017/11/02 23:30:12:509',2,345.649994,-4.59,59.450001,0,0.96,0.08,0.58,0
167,'2017/11/02 23:30:12:567',2,345.670013,-4.57,59.48,0,0.96,0.08,0.58,0
168,'2017/11/02 23:30:12:627',2,345.649994,-4.5,59.450001,0,0.96,0.08,0.58,0
169,'2017/11/02 23:30:12:722',2,345.640015,-4.45,59.48,0,0.96,0.08,0.58,0
170,'2017/11/02 23:30:12:749',2,345.630005,-4.42,59.41,0,0.96,0.08,0.58,0
171,'2017/11/02 23:30:12:823',2,345.619995,-4.33,59.330002,0,0.96,0.08,0.58,0
172,'2017/11/02 23:30:12:867',2,345.640015,-4.33,59.259998,0,0.96,0.08,0.58,0
173,'2017/11/02 23:30:12:933',2,345.670013,-4.38,59.34,0,0.96,0.08,0.58,0
174,'2017/11/02 23:30:12:989',2,345.660004,-4.42,59.389999,0,0.96,0.08,0.58,0
175,'2017/11/02 23:30:13:051',2,345.609985,-4.44,59.400002,0,0.96,0.08,0.58,0
176,'2017/11/02 23:30:13:109',2,345.630005,-4.44,59.509998,0,0.96,0.08,0.58,0
177,'2017/11/02 23:30:13:167',2,345.640015,-4.43,59.580002,0,0.96,0.08,0.58,0
178,'2017/11/02 23:30:13:227',2,345.679993,-4.52,59.669998,0,0.96,0.08,0.58,0
179,'2017/11/02 23:30:13:295',2,345.679993,-4.56,59.75,0,0.96,0.08,0.58,0
180,'2017/11/02 23:30:13:355',2,345.73999,-4.6,59.900002,0,0.96,0.08,0.58,0
181,'2017/11/02 23:30:13:410',2,345.720001,-4.66,59.900002,0,0.96,0.08,0.58,0
182,'2017/11/02 23:30:13:466',2,345.700012,-4.67,59.959999,0,0.96,0.08,0.58,0
183,'2017/11/02 23:30:13:531',2,345.690002,-4.72,59.91,0,0.96,0.08,0.58,0
184,'2017/11/02 23:30:13:591',2,345.75,-4.74,59.93,0,0.96,0.08,0.58,0
185,'2017/11/02 23:30:13:654',2,345.769989,-4.72,59.98,0,0.96,0.08,0.58,0
186,'2017/11/02 23:30:13:716',2,345.76001,-4.79,59.939999,0,0.96,0.08,0.58,0
187,'2017/11/02 23:30:13:774',2,345.76001,-4.79,59.990002,0,0.96,0.08,0.58,0
